##########################################################################################################
# This comment is auto generated by data_analysis.py script from https://github.com/lazicdanilo/LPM01A-lib
# It is used for caching the already calculated data. This comment should not be modified.
# If removed it will be re-created on next run of the script.
#
# This will only be generated if the calculation is done for the
# whole CSV file (flags -s, --start and -e, --end are not used)
#
# Generated on: 03-03-2024_10:42:08
# Calculation time window: 4.717438 s (4717.437999999999 ms)
# Number of values: 4720
# Average current consumption: 7.347662577893055e-06 Ah (0.007347662577893055 mAh)
##########################################################################################################
Current (uA),rx timestamp (us),board timestamps (ms)
14.12,292995,282000
13.33,293728,282000
13.33,294365,282000
13.57,296353,282000
13.33,296991,282000
15.59,297726,282000
13.33,298362,282000
13.33,300389,282000
13.33,301029,282000
15.5,301726,282000
15.37,302365,282000
13.33,304350,282000
13.33,305093,282000
13.33,305733,282000
13.33,306370,282000
13.41,308130,282000
13.62,308540,282000
13.59,309499,282000
13.33,309908,282000
13.33,312130,282000
13.58,312540,282000
14.77,313504,282000
13.34,313914,282000
13.33,316127,282000
13.33,316538,282000
13.33,317502,282000
13.33,317911,282000
13.34,318879,282000
13.36,319287,282000
13.33,321506,282000
13.33,321915,282000
13.33,322880,282000
13.33,323290,282000
13.33,325504,282000
13.33,325915,282000
15.78,326878,282000
13.33,327288,282000
13.33,329501,282000
13.33,329908,282000
13.33,330879,282000
13.33,331289,282000
13.33,333504,282000
13.33,333911,282000
15.85,334906,282000
13.36,335317,282000
13.33,337504,282000
13.42,337914,282000
15.53,338877,282000
13.33,339287,282000
13.33,341506,282000
14.85,341917,282000
13.36,342883,282000
15.77,343294,282000
13.33,345504,282000
13.41,345913,282000
14.17,346877,282000
13.39,347287,282000
13.33,349503,282000
13.41,349913,282000
13.33,350880,282000
13.33,351289,282000
13.36,353508,282000
13.33,353917,282000
13.33,354900,282000
13.33,355310,282000
13.33,357505,282000
13.33,357915,282000
14.98,358878,282000
15.8,359287,282000
13.33,361506,282000
15.57,361916,282000
13.33,362877,282000
13.33,363285,282000
13.33,365503,282000
13.33,365911,282000
15.85,366876,282000
13.36,367283,282000
13.33,369506,282000
13.33,369913,282000
13.33,370880,282000
15.78,371291,282000
13.33,373504,282000
15.86,373914,282000
13.33,374898,282000
15.47,375307,282000
13.33,377506,282000
13.33,377916,282000
15.81,378877,282000
15.69,379286,282000
13.33,381506,282000
13.56,381915,282000
15.66,382877,282000
13.42,383504,282000
13.61,385516,282000
13.6,385928,282000
15.62,386878,282000
13.33,387288,282000
13.33,389503,282000
13.42,389914,282000
15.74,390908,282000
13.33,391318,282000
15.37,393511,282000
13.33,394902,282000
15.87,395313,282000
15.5,397505,282000
15.62,397915,282000
13.33,398877,282000
13.33,399286,282000
13.33,401504,282000
16.0,401915,282000
13.33,402876,282000
15.34,403284,282000
13.33,404250,282000
16.04,404660,282000
13.33,406882,282000
13.33,407292,282000
13.33,408254,282000
13.33,408665,282000
13.33,410905,282000
13.33,411316,282000
13.33,412255,282000
15.65,412664,282000
13.33,414898,282000
13.33,415309,282000
13.33,416252,282000
13.33,416662,282000
13.33,418881,282000
13.33,419292,282000
14.84,420252,282000
15.69,420661,282000
13.33,422880,282000
13.36,423292,282000
13.34,424256,282000
15.51,424667,282000
13.33,426880,282000
13.33,427292,282000
13.33,428254,282000
13.33,428664,282000
15.7,430904,282000
15.56,431316,282000
15.49,432254,282000
13.33,432664,282000
15.55,434898,282000
13.59,435308,282000
13.41,436253,282000
15.61,436663,282000
15.79,438878,282000
13.33,439289,282000
13.49,440252,282000
15.58,440662,282000
13.33,442882,282000
15.3,443294,282000
15.13,444257,282000
13.33,444669,282000
15.75,446881,282000
15.9,447290,282000
13.33,448252,282000
13.33,448663,282000
14.17,450879,282000
15.4,451318,282000
13.33,452258,282000
15.49,452669,282000
15.88,454901,282000
13.33,455312,282000
13.33,456254,282000
13.33,456663,282000
15.73,458879,282000
13.33,459289,282000
15.64,460252,282000
15.76,460661,282000
13.42,462882,282000
13.33,463291,282000
13.33,464255,282000
13.33,464665,282000
13.33,466881,282000
13.33,467291,282000
15.8,468259,282000
13.33,468669,282000
13.33,470882,282000
13.33,471322,282000
13.33,472258,282000
13.33,472669,282000
13.33,474901,282000
13.33,475312,282000
13.33,476256,282000
15.53,476668,282000
13.41,478877,282000
13.33,479286,282000
13.33,480252,282000
15.66,480661,282000
15.51,482879,282000
15.46,483288,282000
15.59,484251,282000
15.87,484661,282000
13.33,486888,282000
13.33,487301,282000
15.87,488255,282000
15.64,488665,282000
15.66,489627,282000
15.61,490037,282000
13.33,492257,282000
13.33,492669,282000
13.33,493633,282000
15.67,494044,282000
15.52,496255,282000
13.33,496665,282000
15.62,497631,282000
13.33,498040,282000
13.33,500256,282000
13.33,500666,282000
13.33,501655,282000
13.41,502066,282000
13.35,504255,282000
13.52,504665,282000
15.83,505632,282000
13.33,506042,282000
13.34,508253,282000
13.33,508663,282000
14.22,509627,282000
13.33,510037,282000
13.57,512256,282000
13.33,512674,282000
13.33,513629,282000
13.33,514039,282000
13.33,516254,282000
13.33,516663,282000
13.33,517630,282000
13.33,518039,282000
13.33,520258,282000
15.58,520667,282000
13.33,521656,282000
13.33,522066,282000
13.34,524254,282000
13.33,524663,282000
13.33,525631,282000
13.33,526040,282000
13.33,528253,282000
13.33,528663,282000
15.73,529627,282000
13.33,530037,282000
13.33,532258,282000
14.07,532670,282000
15.55,533629,282000
13.33,536255,282000
13.33,536666,282000
13.33,537628,282000
13.33,538037,282000
13.33,540253,282000
13.33,540661,282000
14.13,541653,282000
13.33,542063,282000
13.33,544260,282000
14.1,544671,282000
13.33,545725,282000
15.87,546215,282000
15.92,548317,282000
13.33,548742,282000
13.36,549638,282000
13.33,550048,282000
13.33,552259,282000
13.41,552670,282000
13.33,553629,282000
13.33,554039,282000
13.33,556258,282000
13.57,556667,282000
13.33,557628,282000
13.33,558036,282000
14.07,560254,282000
15.86,560662,282000
13.33,561628,282000
13.33,562065,282000
13.33,564255,282000
13.33,564664,282000
13.33,565633,282000
13.33,566043,282000
13.33,568257,282000
15.81,568669,282000
14.97,569632,282000
13.33,570042,282000
13.33,572259,282000
13.33,572668,282000
13.33,573627,282000
13.33,574036,282000
13.33,575029,282000
13.33,575439,282000
13.33,577631,282000
13.33,578041,282000
13.33,579004,282000
15.63,579414,282000
13.33,581634,282000
13.33,582073,282000
13.33,583007,282000
13.33,583416,282000
13.33,585629,282000
13.33,586038,282000
13.33,587004,282000
13.33,587415,282000
13.33,589629,282000
13.33,590037,282000
13.33,591005,282000
13.33,591415,282000
13.33,593633,282000
13.33,594044,282000
13.33,595028,282000
13.33,595438,282000
13.33,597632,282000
13.33,598044,282000
13.33,599004,282000
13.33,599415,282000
13.33,601631,282000
14.07,602067,282000
13.33,603004,282000
13.33,603415,282000
13.33,605630,282000
13.33,606039,282000
14.15,607003,282000
13.33,607412,282000
13.33,609629,282000
13.33,610038,282000
13.33,611002,282000
13.33,611413,282000
13.33,613635,282000
13.44,614045,282000
13.36,615024,282000
13.33,615434,282000
13.33,617629,282000
13.33,618039,282000
13.33,619008,282000
13.33,619419,282000
13.33,621631,282000
13.33,622042,282000
13.33,623006,282000
13.33,623417,282000
13.33,625631,282000
13.34,626040,282000
13.33,627005,282000
13.33,627414,282000
13.57,629632,282000
15.89,630040,282000
13.33,631005,282000
13.33,631416,282000
13.34,633631,282000
13.33,634040,282000
13.33,635024,282000
13.33,635434,282000
13.33,637632,282000
13.57,638042,282000
13.33,639006,282000
13.33,639416,282000
13.57,641629,282000
13.33,642040,282000
13.41,643006,282000
13.33,643418,282000
13.33,645637,282000
13.33,646047,282000
13.33,647004,282000
13.33,647413,282000
13.33,649628,282000
13.33,650037,282000
15.73,651005,282000
13.33,651416,282000
13.33,653631,282000
13.33,654040,282000
13.33,655025,282000
13.33,655434,282000
13.33,657630,282000
13.33,658038,282000
13.33,659005,282000
13.42,659416,282000
13.36,660379,282000
13.33,660787,282000
13.33,663008,282000
13.57,663418,282000
13.33,664380,282000
13.33,664810,282000
13.33,667007,282000
13.33,667416,282000
13.33,668379,282000
13.34,668788,282000
13.33,671007,282000
13.41,671416,282000
13.41,672402,282000
13.33,675030,282000
13.33,675442,282000
15.55,676379,282000
13.33,676788,282000
13.33,679004,282000
13.42,679412,282000
13.33,680378,282000
13.33,680787,282000
13.33,683008,282000
13.33,683417,282000
13.33,684383,282000
13.33,684810,282000
13.33,687007,282000
13.59,687416,282000
13.33,688381,282000
13.33,688789,282000
13.33,691005,282000
13.57,691414,282000
13.33,692379,282000
13.33,692817,282000
13.33,695034,282000
15.44,695445,282000
14.07,696379,282000
13.33,696789,282000
13.33,699005,282000
13.33,699415,282000
13.33,700380,282000
13.33,700789,282000
13.33,703007,282000
13.33,703417,282000
13.33,704380,282000
13.33,704806,282000
15.63,707007,282000
13.33,707416,282000
13.33,708381,282000
13.33,708789,282000
13.68,711003,282000
13.33,711411,282000
13.33,712379,282000
13.33,712815,282000
13.33,715026,282000
13.33,715437,282000
13.33,716380,282000
13.33,716791,282000
13.33,719007,282000
13.33,719417,282000
13.33,720382,282000
13.33,720790,282000
13.33,723033,282000
13.33,723442,282000
13.41,724380,282000
13.33,724814,282000
13.58,727031,282000
13.33,727452,282000
13.33,728382,282000
13.33,728792,282000
16.33,731005,282000
13.33,731413,282000
13.33,732379,282000
13.33,732815,282000
13.33,735031,282000
13.33,735440,282000
